scenario_id,method,n,p,contamination_type,contamination_rate,contamination_strength,true_ate,n_mc,bias,mse,var,rmse,mae,coverage,n_valid,elapsed_sec,mcse_bias,mcse_mse,mcse_rmse
10,ipw_robust,200,5,covariate,0.0,3,2,2000,-0.0199926442103049,0.0293699226623554,0.0289847091944328,0.171376552253671,0.136669064891926,0.9535,2000,180.866459846497,0.003806882529999632,0.0009291308202529693,0.002710787467814363
10,dr_robust,200,5,covariate,0.0,3,2,2000,0.0034658549858819,0.0278392478188447,0.0278411562461846,0.166850974881313,0.133476146803731,0.951,2000,180.866459846497,0.0037310290970578477,0.0008807944399563824,0.0026394644699646573
10,aipw_robust,200,5,covariate,0.0,3,2,2000,0.0019666527446604,0.0368937610799322,0.0369083475306795,0.192077487176223,0.153492205598515,0.9475,2000,180.866459846497,0.004295832138868993,0.0011672667304331189,0.0030385308231417065
10,reg_adj,200,5,covariate,0.0,3,2,2000,0.0076530366812841,0.026517088367889,0.0264717552750814,0.162840684007066,0.13058343212135,0.9485,2000,180.866459846497,0.003638114571799616,0.0008389604723993088,0.002576016176531488
10,adaptive,200,5,covariate,0.0,3,2,2000,0.0075652876635703,0.0265613493379499,0.0265173744477412,0.16297653002181,0.130671181139064,0.948,2000,180.866459846497,0.003641248031083656,0.000840360943886164,0.002578165530256732
11,naive,500,5,covariate,0.0,3,2,2000,0.0143521202875845,0.0112339864488709,0.0110335198520476,0.105990501691759,0.0842132124375027,0.9475,2000,400.804167985916,0.0023487783901474826,0.00035536460605594636,0.00167639835826712
11,ipw_robust,500,5,covariate,0.0,3,2,2000,-0.0157783753901155,0.0118952535745544,0.0116521225058559,0.109065363771247,0.0871020428462343,0.949,2000,400.804167985916,0.0024137235245421025,0.0003762628294759843,0.0017249418901914434
11,dr_robust,500,5,covariate,0.0,3,2,2000,0.0102540697294247,0.0110616221565362,0.0109619571891148,0.105174246641163,0.0833705496486401,0.9515,2000,400.804167985916,0.0023411489902518804,0.0003499567346596666,0.0016636997451175508
11,aipw_robust,500,5,covariate,0.0,3,2,2000,0.0052354891779331,0.0154855797631403,0.0154659023673918,0.124441069439074,0.100285551590891,0.954,2000,400.804167985916,0.0027808184377438056,0.000489940800032735,0.0019685655316254275
11,reg_adj,500,5,covariate,0.0,3,2,2000,0.0121407495507442,0.010628189433594,0.0104860346512657,0.103093110504989,0.0820760141359566,0.9475,2000,400.804167985916,0.0022897635960144117,0.0003362263516991598,0.0016306926333495813
11,adaptive,500,5,covariate,0.0,3,2,2000,0.0121407495507442,0.010628189433594,0.0104860346512657,0.103093110504989,0.0820760141359566,0.9475,2000,400.804167985916,0.0022897635960144117,0.0003362263516991598,0.0016306926333495813
12,naive,1000,5,covariate,0.0,3,2,2000,0.0111374245475413,0.0056519593930326,0.0055306825087348,0.0751795144506309,0.0605985111079394,0.95,2000,735.490218162537,0.001662931524256907,0.00017877506914230792,0.0011889879207700022
