"scenario_id","method","n","p","contamination_type","contamination_rate","contamination_strength","true_ate","n_mc","bias","mse","var","rmse","mae","coverage","n_valid","elapsed_sec"
195,"naive",1000,10,"covariate",0.2,3,2,2000,-0.158810078179232,0.0324520583970793,0.00723503498327732,0.180144548618823,0.160836482303328,0.534,2000,1367.7169649601
195,"ipw_robust",1000,10,"covariate",0.2,3,2,2000,-0.152416768359275,0.0306181639314732,0.00739098814846251,0.174980467285561,0.154898644298226,0.5785,2000,1367.7169649601
195,"dr_robust",1000,10,"covariate",0.2,3,2,2000,-0.159708245175326,0.032792881923454,0.00728980324809593,0.181088050195075,0.161601359201693,0.5325,2000,1367.7169649601
195,"aipw_robust",1000,10,"covariate",0.2,3,2,2000,-0.152555665638994,0.0329133743352175,0.00964496569951061,0.181420435274578,0.157003734493274,0.6625,2000,1367.7169649601
195,"reg_adj",1000,10,"covariate",0.2,3,2,2000,-0.159868521020632,0.0323233790076613,0.00676881940403906,0.17978703793005,0.161523643323008,0.51,2000,1367.7169649601
195,"adaptive",1000,10,"covariate",0.2,3,2,2000,-0.159868521020632,0.0323233790076613,0.00676881940403906,0.17978703793005,0.161523643323008,0.51,2000,1367.7169649601
196,"naive",200,20,"covariate",0.2,3,2,2000,-0.150200938645203,0.0704426518221353,0.0479062829937322,0.265410346109822,0.212022553746879,0.908,2000,563.600545883179
196,"ipw_robust",200,20,"covariate",0.2,3,2,2000,-0.147018004481791,0.0667012900247313,0.0451095511585027,0.258265928888677,0.205731353448523,0.894,2000,563.600545883179
196,"dr_robust",200,20,"covariate",0.2,3,2,2000,-0.155564909872072,0.071342998301118,0.047166140187706,0.267101101272754,0.214421984864688,0.893,2000,563.600545883179
196,"aipw_robust",200,20,"covariate",0.2,3,2,2000,-0.129007032213334,0.0749674404110994,0.0583538029520832,0.273801826895109,0.218923950388185,0.9165,2000,563.600545883179
196,"reg_adj",200,20,"covariate",0.2,3,2,2000,-0.166860201109858,0.0653669757501779,0.0375434207461286,0.255669661380027,0.209419249974839,0.868,2000,563.600545883179
196,"adaptive",200,20,"covariate",0.2,3,2,2000,-0.166448942169069,0.067822404578071,0.0401372228402891,0.260427349904097,0.211528833933359,0.8775,2000,563.600545883179
197,"naive",500,20,"covariate",0.2,3,2,2000,-0.159550249621837,0.0421325952319526,0.0166846554052648,0.205262259638621,0.173765001778497,0.772,2000,1548.55583310127
197,"ipw_robust",500,20,"covariate",0.2,3,2,2000,-0.153506435200331,0.0402359986768923,0.0166801130855214,0.200589129009755,0.168813010114998,0.779,2000,1548.55583310127
197,"dr_robust",500,20,"covariate",0.2,3,2,2000,-0.166156028904997,0.0447171091612777,0.0171178421408699,0.21146420302566,0.178930316447614,0.76,2000,1548.55583310127
197,"aipw_robust",500,20,"covariate",0.2,3,2,2000,-0.149251433399024,0.0432592498413727,0.0209937563478834,0.20798858103601,0.172073101179534,0.8315,2000,1548.55583310127
197,"reg_adj",500,20,"covariate",0.2,3,2,2000,-0.165137835107271,0.0417347178810831,0.0144714490216778,0.204290767978103,0.174543630426615,0.725,2000,1548.55583310127
197,"adaptive",500,20,"covariate",0.2,3,2,2000,-0.165404384831936,0.0419612937156319,0.0146099881880947,0.204844559887813,0.174810180151281,0.7285,2000,1548.55583310127
198,"naive",1000,20,"covariate",0.2,3,2,2000,-0.169592888721756,0.0364820792823453,0.00772419347409239,0.191002825325557,0.171035784406494,0.515,2000,3468.64519286156
198,"ipw_robust",1000,20,"covariate",0.2,3,2,2000,-0.16436690790272,0.0348820037459593,0.00786945806148878,0.186767244842235,0.166252629735609,0.547,2000,3468.64519286156
198,"dr_robust",1000,20,"covariate",0.2,3,2,2000,-0.17280310483536,0.0376517175022648,0.00779470181243054,0.194040504798005,0.174009024663783,0.5095,2000,3468.64519286156
198,"aipw_robust",1000,20,"covariate",0.2,3,2,2000,-0.162537835618492,0.0367231436389554,0.0103097505066649,0.191632835492656,0.168006323552008,0.6255,2000,3468.64519286156
198,"reg_adj",1000,20,"covariate",0.2,3,2,2000,-0.171172691270526,0.036310276170257,0.00701369277985223,0.190552554877275,0.172020983723852,0.473,2000,3468.64519286156
198,"adaptive",1000,20,"covariate",0.2,3,2,2000,-0.171172691270526,0.036310276170257,0.00701369277985223,0.190552554877275,0.172020983723852,0.473,2000,3468.64519286156
199,"naive",200,5,"outcome",0.2,3,2,2000,0.00675625071407371,0.155511048117551,0.15554317278023,0.394348891360875,0.308025087544732,0.95,2000,174.883041143417
199,"ipw_robust",200,5,"outcome",0.2,3,2,2000,-0.0273732935645588,0.0530715762008713,0.0523484532269132,0.230372689789548,0.184188686280766,0.949,2000,174.883041143417
199,"dr_robust",200,5,"outcome",0.2,3,2,2000,-0.00126007290040353,0.053615427399185,0.0536406599454434,0.231550053766318,0.186108818082878,0.9515,2000,174.883041143417
199,"aipw_robust",200,5,"outcome",0.2,3,2,2000,-0.00917002261692579,0.0589305539411606,0.0588759025776545,0.242756161489591,0.193009901498245,0.9445,2000,174.883041143417
199,"reg_adj",200,5,"outcome",0.2,3,2,2000,0.00578361180555165,0.146434832598668,0.146474619743022,0.382668044914477,0.302143723167154,0.943,2000,174.883041143417
199,"adaptive",200,5,"outcome",0.2,3,2,2000,-0.0288751520335098,0.0549075261290414,0.0541008021251457,0.234323550094824,0.187556211469757,0.947,2000,174.883041143417
200,"naive",500,5,"outcome",0.2,3,2,2000,0.0108281411831435,0.0625312522910617,0.062445226262711,0.250062496770431,0.194589137529349,0.946,2000,376.745650053024
200,"ipw_robust",500,5,"outcome",0.2,3,2,2000,-0.0199707854369167,0.01925929486352,0.0188698975413233,0.138777861575685,0.110882135048165,0.941,2000,376.745650053024
200,"dr_robust",500,5,"outcome",0.2,3,2,2000,0.00529074106845195,0.0194483656493975,0.0194300887527205,0.139457397255927,0.11090297076691,0.949,2000,376.745650053024
200,"aipw_robust",500,5,"outcome",0.2,3,2,2000,0.00187582415701515,0.0209826713089887,0.0209896474164288,0.14485396545828,0.116377577061437,0.947,2000,376.745650053024
200,"reg_adj",500,5,"outcome",0.2,3,2,2000,0.0127111861475413,0.0605309016792405,0.0603995271895579,0.246030286101611,0.192015887436881,0.952,2000,376.745650053024
200,"adaptive",500,5,"outcome",0.2,3,2,2000,-0.0203066532151643,0.0192751575991707,0.0188722335511453,0.138835001347537,0.110973980790188,0.941,2000,376.745650053024
201,"naive",1000,5,"outcome",0.2,3,2,2000,0.00893553838637429,0.0307766445553558,0.0307121567874952,0.175432735130465,0.138591684394943,0.95,2000,697.172827005386
201,"ipw_robust",1000,5,"outcome",0.2,3,2,2000,-0.019203160931107,0.0107991845811967,0.0104356410119567,0.103919125194531,0.0826669436599063,0.942,2000,697.172827005386
201,"dr_robust",1000,5,"outcome",0.2,3,2,2000,0.00665354459333223,0.0105062455925611,0.0104672095416765,0.102499978500296,0.0814201431471667,0.9495,2000,697.172827005386
201,"aipw_robust",1000,5,"outcome",0.2,3,2,2000,-0.000687823835262558,0.0114131687433028,0.0114184048440965,0.106832433012184,0.0849293828829562,0.948,2000,697.172827005386
201,"reg_adj",1000,5,"outcome",0.2,3,2,2000,0.00917323568844797,0.0292232152803201,0.0291536438492489,0.170947989986195,0.135572901174591,0.9475,2000,697.172827005386
201,"adaptive",1000,5,"outcome",0.2,3,2,2000,-0.019203160931107,0.0107991845811967,0.0104356410119567,0.103919125194531,0.0826669436599063,0.942,2000,697.172827005386
202,"naive",200,10,"outcome",0.2,3,2,2000,0.0206042546533753,0.183794302838766,0.183461498278084,0.428712377753157,0.322239144565612,0.955,2000,297.42138504982
202,"ipw_robust",200,10,"outcome",0.2,3,2,2000,-0.00988332021923632,0.0554782194148458,0.0554082435180488,0.235538148534045,0.186502507642034,0.947,2000,297.42138504982
202,"dr_robust",200,10,"outcome",0.2,3,2,2000,0.0122053820208889,0.0571487934571497,0.0570283362750113,0.239058138236601,0.188268929678251,0.9475,2000,297.42138504982
202,"aipw_robust",200,10,"outcome",0.2,3,2,2000,0.00126336099259117,0.0619316858201067,0.0619610702742462,0.248860775977466,0.196651788105603,0.946,2000,297.42138504982
202,"reg_adj",200,10,"outcome",0.2,3,2,2000,0.0215755014769168,0.169330569748956,0.168949542256103,0.411497958377627,0.31259279355053,0.948,2000,297.42138504982
202,"adaptive",200,10,"outcome",0.2,3,2,2000,-0.0112245866713245,0.0570070828207869,0.0569095462479688,0.238761560601339,0.188738956230783,0.946,2000,297.42138504982
203,"naive",500,10,"outcome",0.2,3,2,2000,0.00808193677028957,0.0647636100881102,0.0647306577150088,0.25448695465212,0.197610566862948,0.948,2000,647.893548965454
203,"ipw_robust",500,10,"outcome",0.2,3,2,2000,-0.0175077008598417,0.0203988957953822,0.0201024274196944,0.142824703029211,0.113594900626769,0.9515,2000,647.893548965454
203,"dr_robust",500,10,"outcome",0.2,3,2,2000,0.00205571156406981,0.0207699627571941,0.0207761248695943,0.144117877992961,0.114444765211716,0.95,2000,647.893548965454
203,"aipw_robust",500,10,"outcome",0.2,3,2,2000,-0.00739349117348698,0.0235075540608608,0.0234646226604586,0.153321733817684,0.123201601632357,0.9535,2000,647.893548965454
203,"reg_adj",500,10,"outcome",0.2,3,2,2000,0.00702242332471803,0.0611815935577593,0.0611628605586871,0.247349132922999,0.193408984331051,0.948,2000,647.893548965454
203,"adaptive",500,10,"outcome",0.2,3,2,2000,-0.0177042486717836,0.020490765419145,0.0201874187074664,0.143145958445026,0.113791448438711,0.9505,2000,647.893548965454
204,"naive",1000,10,"outcome",0.2,3,2,2000,0.00870758370508229,0.0317008808793558,0.0316408793050273,0.178047411886148,0.141398776372968,0.95,2000,1152.4760761261
204,"ipw_robust",1000,10,"outcome",0.2,3,2,2000,-0.0158447431017323,0.0107313162022318,0.0104855030698068,0.103592066309307,0.0826526872307569,0.9445,2000,1152.4760761261
204,"dr_robust",1000,10,"outcome",0.2,3,2,2000,0.00376969326049181,0.0104126620367953,0.0104036532761552,0.10204245213045,0.0813228476685064,0.9485,2000,1152.4760761261
204,"aipw_robust",1000,10,"outcome",0.2,3,2,2000,-0.000958651977346792,0.0112454494302422,0.0112501554943757,0.106044563416718,0.0846953676589734,0.9535,2000,1152.4760761261
204,"reg_adj",1000,10,"outcome",0.2,3,2,2000,0.00871635585598085,0.0297957113528327,0.0297346037953223,0.172614342836372,0.13659384691611,0.948,2000,1152.4760761261
204,"adaptive",1000,10,"outcome",0.2,3,2,2000,-0.0158447431017323,0.0107313162022318,0.0104855030698068,0.103592066309307,0.0826526872307569,0.9445,2000,1152.4760761261
205,"naive",200,20,"outcome",0.2,3,2,2000,0.0033953095965793,0.249316176783112,0.249429363337524,0.499315708528293,0.359698966896094,0.9545,2000,707.420969009399
205,"ipw_robust",200,20,"outcome",0.2,3,2,2000,-0.0132046593824031,0.0635629488869312,0.0634202960055287,0.252116934946725,0.200809412412727,0.9495,2000,707.420969009399
205,"dr_robust",200,20,"outcome",0.2,3,2,2000,0.0101863589696509,0.0668185930044631,0.0667482051980035,0.258492926410885,0.205455713618327,0.9525,2000,707.420969009399
205,"aipw_robust",200,20,"outcome",0.2,3,2,2000,0.00926445211136429,0.0769043984190531,0.0768569968445516,0.27731642291623,0.221795096738386,0.9505,2000,707.420969009399
205,"reg_adj",200,20,"outcome",0.2,3,2,2000,0.00762386568272211,0.192009850033671,0.192047750581013,0.438189285621717,0.337297653968265,0.955,2000,707.420969009399
205,"adaptive",200,20,"outcome",0.2,3,2,2000,-0.0148048152617619,0.0645187173562134,0.0643317006516043,0.25400534907008,0.20217158369509,0.949,2000,707.420969009399
206,"naive",500,20,"outcome",0.2,3,2,2000,0.0131826550945009,0.0751544299372814,0.075018156620251,0.274143082964501,0.207761882806566,0.955,2000,1754.56205487251
206,"ipw_robust",500,20,"outcome",0.2,3,2,2000,-0.0156506004095107,0.0233524103268243,0.0231190285479201,0.152814954526134,0.122601861543823,0.955,2000,1754.56205487251
206,"dr_robust",500,20,"outcome",0.2,3,2,2000,0.00383698910015173,0.0237854477883593,0.0237826166113102,0.154225315004896,0.123699466130426,0.9545,2000,1754.56205487251
206,"aipw_robust",500,20,"outcome",0.2,3,2,2000,-0.000138232335927357,0.0253431499285582,0.0253558087247418,0.159195320058594,0.127849283039958,0.9545,2000,1754.56205487251
206,"reg_adj",500,20,"outcome",0.2,3,2,2000,0.0100115000339045,0.0671644154201348,0.0670977341542831,0.259160983599258,0.199212969820147,0.9545,2000,1754.56205487251
206,"adaptive",500,20,"outcome",0.2,3,2,2000,-0.0156453522196391,0.0233937642177666,0.0231605674554177,0.152950201757849,0.122696127894592,0.955,2000,1754.56205487251
207,"naive",1000,20,"outcome",0.2,3,2,2000,0.0102201734455072,0.0344969642528659,0.0344097171661928,0.18573358407371,0.140597984146021,0.955,2000,2999.45232892036
207,"ipw_robust",1000,20,"outcome",0.2,3,2,2000,-0.0131869332377248,0.0104955428442804,0.0103268110415849,0.102447756658115,0.081322456273765,0.9455,2000,2999.45232892036
207,"dr_robust",1000,20,"outcome",0.2,3,2,2000,0.00759487618798182,0.0106639698215494,0.0106115934739757,0.10326649902824,0.0818573059523667,0.95,2000,2999.45232892036
207,"aipw_robust",1000,20,"outcome",0.2,3,2,2000,0.00232206140401647,0.0117477377033858,0.0117482198441439,0.108386981244916,0.0857488567672634,0.948,2000,2999.45232892036
207,"reg_adj",1000,20,"outcome",0.2,3,2,2000,0.00962645479864044,0.0323861766373188,0.0323096628367469,0.179961597673834,0.138167810476705,0.953,2000,2999.45232892036
207,"adaptive",1000,20,"outcome",0.2,3,2,2000,-0.0131869332377248,0.0104955428442804,0.0103268110415849,0.102447756658115,0.081322456273765,0.9455,2000,2999.45232892036
208,"naive",200,5,"treatment",0.2,3,2,2000,-0.896095852570654,0.832236818760287,0.0292636736027608,0.912270145713586,0.896095852570654,5e-04,2000,180.653680086136
208,"ipw_robust",200,5,"treatment",0.2,3,2,2000,-0.846769214564169,0.748604308448868,0.031602006718607,0.865219225658369,0.846769214564169,0.002,2000,180.653680086136
208,"dr_robust",200,5,"treatment",0.2,3,2,2000,-0.84364415348635,0.740860186475506,0.0291392984130121,0.860732354727941,0.84364415348635,0.001,2000,180.653680086136
208,"aipw_robust",200,5,"treatment",0.2,3,2,2000,-0.759553249573813,0.623374946974136,0.046477046559277,0.789540972321346,0.759553249573813,0.0555,2000,180.653680086136
208,"reg_adj",200,5,"treatment",0.2,3,2,2000,-0.890214390580956,0.820577139243414,0.028109532812397,0.905857129597937,0.890214390580956,5e-04,2000,180.653680086136
208,"adaptive",200,5,"treatment",0.2,3,2,2000,-0.890214390580956,0.820577139243414,0.028109532812397,0.905857129597937,0.890214390580956,5e-04,2000,180.653680086136
209,"naive",500,5,"treatment",0.2,3,2,2000,-0.896901135607334,0.816023676923609,0.0115978287842759,0.903340288553327,0.896901135607334,0,2000,401.129680156708
209,"ipw_robust",500,5,"treatment",0.2,3,2,2000,-0.848105535747256,0.731920052048703,0.0126433739705488,0.855523262131839,0.848105535747256,0,2000,401.129680156708
209,"dr_robust",500,5,"treatment",0.2,3,2,2000,-0.841985036647014,0.720443643275992,0.0115105966368363,0.848789516473897,0.841985036647014,0,2000,401.129680156708
209,"aipw_robust",500,5,"treatment",0.2,3,2,2000,-0.749547385436308,0.581251195779102,0.019439632580988,0.762398318321271,0.749547385436308,5e-04,2000,401.129680156708
209,"reg_adj",500,5,"treatment",0.2,3,2,2000,-0.890906656352218,0.80501285396607,0.011303835551156,0.897225085452959,0.890906656352218,0,2000,401.129680156708
209,"adaptive",500,5,"treatment",0.2,3,2,2000,-0.890906656352218,0.80501285396607,0.011303835551156,0.897225085452959,0.890906656352218,0,2000,401.129680156708
210,"naive",1000,5,"treatment",0.2,3,2,2000,-0.894266950313384,0.805317636240743,0.0056070613486162,0.897394916544964,0.894266950313384,0,2000,733.593167066574
210,"ipw_robust",1000,5,"treatment",0.2,3,2,2000,-0.845688395218073,0.721383203471164,0.00619744038483638,0.849342806804863,0.845688395218073,0,2000,733.593167066574
210,"dr_robust",1000,5,"treatment",0.2,3,2,2000,-0.838321442420074,0.708374964100602,0.00559492073969911,0.84165014352794,0.838321442420073,0,2000,733.593167066574
210,"aipw_robust",1000,5,"treatment",0.2,3,2,2000,-0.742768678811309,0.561146404608306,0.0094458172938558,0.749097059537885,0.742768678811309,0,2000,733.593167066574
210,"reg_adj",1000,5,"treatment",0.2,3,2,2000,-0.888809276320139,0.795423382096176,0.00544417451070243,0.891865114294856,0.888809276320139,0,2000,733.593167066574
210,"adaptive",1000,5,"treatment",0.2,3,2,2000,-0.888809276320139,0.795423382096176,0.00544417451070243,0.891865114294856,0.888809276320139,0,2000,733.593167066574
211,"naive",200,10,"treatment",0.2,3,2,2000,-0.903256274929796,0.846978955840429,0.031122618949853,0.920314596124841,0.903256274929796,0,2000,311.220577955246
211,"ipw_robust",200,10,"treatment",0.2,3,2,2000,-0.84553857320347,0.74810953277556,0.0331906493252629,0.86493325336442,0.84553857320347,0.002,2000,311.220577955246
